     MVS    FIELD   QMC ST       DATE        TIME             LAt             Lng     AltAmsl          AltRel        Baro        Roll       Pitch         Yaw         Bat
-------- 47402055 13844 83 26.09.2021 03:06:27,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 48648344 03853 83 26.09.2021 03:06:28,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 49182554 10969 82 26.09.2021 03:06:29,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 49215475 11125 82 26.09.2021 03:06:30,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 49876039 10268 82 26.09.2021 03:06:31,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 49937445 15368 82 26.09.2021 03:06:32,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 49470427 12799 86 26.09.2021 03:06:33,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 48755368 06649 82 26.09.2021 03:06:34,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 48714424 11009 86 26.09.2021 03:06:35,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 48889988 33977 86 26.09.2021 03:06:36,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 45864623 65535 85 26.09.2021 03:06:37,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 00000000 65535 20 26.09.2021 03:06:38,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 51591855 65535 85 26.09.2021 03:06:39,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 49299685 65535 86 26.09.2021 03:06:40,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 00000000 65535 20 26.09.2021 03:06:41,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 50586451 16216 82 26.09.2021 03:06:42,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 50882438 04806 82 26.09.2021 03:06:43,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 51219723 12767 82 26.09.2021 03:06:44,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 51485103 25130 82 26.09.2021 03:06:45,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 51933045 31535 86 26.09.2021 03:06:46,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 52095970 11197 82 26.09.2021 03:06:47,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 51961362 40660 86 26.09.2021 03:06:48,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 52024898 20357 82 26.09.2021 03:06:49,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 52237437 15536 82 26.09.2021 03:06:50,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 52236794 07218 82 26.09.2021 03:06:51,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 52147279 14238 82 26.09.2021 03:06:52,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 51934818 04960 82 26.09.2021 03:06:53,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 51442638 07692 82 26.09.2021 03:06:54,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 51275858 09235 82 26.09.2021 03:06:55,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 51236695 09220 82 26.09.2021 03:06:56,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 51091457 08324 82 26.09.2021 03:06:57,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 51059059 13449 86 26.09.2021 03:06:58,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 50937855 11929 86 26.09.2021 03:06:59,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 51040553 06043 82 26.09.2021 03:07:00,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 51098793 14250 86 26.09.2021 03:07:01,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 51209176 34695 86 26.09.2021 03:07:02,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 51452463 31215 86 26.09.2021 03:07:03,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 51588175 36504 86 26.09.2021 03:07:04,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 51687283 07065 82 26.09.2021 03:07:05,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 51784923 07096 82 26.09.2021 03:07:06,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 51861859 03679 82 26.09.2021 03:07:07,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 51819771 03915 82 26.09.2021 03:07:08,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 51811636 04553 82 26.09.2021 03:07:09,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 51797231 09129 82 26.09.2021 03:07:10,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 51828987 07786 82 26.09.2021 03:07:11,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 51813332 04363 82 26.09.2021 03:07:12,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 51901308 02133 82 26.09.2021 03:07:13,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 51986115 03356 82 26.09.2021 03:07:14,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 52012944 03047 82 26.09.2021 03:07:15,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 52039730 01812 82 26.09.2021 03:07:16,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 51961097 00824 82 26.09.2021 03:07:17,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
-------- 51929934 00481 82 26.09.2021 03:07:18,00 --------------- --------------- ----------- --------------- ----------- ----------- ----------- ----------- -----------
